Rank,Track.Name,Artist.Name,Genre,Popularity
1,Señorita,Shawn Mendes,canadian pop,79
2,China,Anuel AA,reggaeton flow,92
3,boyfriend (with Social House),Ariana Grande,dance pop,85
4,Beautiful People (feat. Khalid),Ed Sheeran,pop,86
5,Goodbyes (Feat. Young Thug),Post Malone,dfw rap,94
6,I Don't Care (with Justin Bieber),Ed Sheeran,pop,84
7,Ransom,Lil Tecca,trap music,92
8,How Do You Sleep?,Sam Smith,pop,90
9,Old Town Road - Remix,Lil Nas X,country rap,87
10,bad guy,Billie Eilish,electropop,95
11,Callaita,Bad Bunny,reggaeton,93
12,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,86
13,Someone You Loved,Lewis Capaldi,pop,88
14,Otro Trago - Remix,Sech,panamanian pop,87
15,Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,92
16,No Guidance (feat. Drake),Chris Brown,dance pop,82
17,La canción,J Balvin,latin,90
18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,91
19,Lalala,Y2K,canadian hip hop,88
20,Truth Hurts,Lizzo,escape room,91
21,Piece Of Your Heart,MEDUZA,pop house,91
22,Panini,Lil Nas X,country rap,91
23,No Me Conoce - Remix,Jhay Cortez,reggaeton flow,83
24,Soltera - Remix,Lunay,latin,91
25,bad guy (with Justin Bieber),Billie Eilish,electropop,89
26,If I Can't Have You,Shawn Mendes,canadian pop,70
27,Dance Monkey,Tones and I,australian pop,83
28,It's You,Ali Gatie,canadian hip hop,89
29,Con Calma,Daddy Yankee,latin,91
30,QUE PRETENDES,J Balvin,latin,89
31,Takeaway,The Chainsmokers,edm,84
32,7 rings,Ariana Grande,dance pop,89
33,0.958333333333333,Maluma,reggaeton,89
34,The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,89
35,Never Really Over,Katy Perry,dance pop,89
36,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room,89
37,Otro Trago,Sech,panamanian pop,91
38,Antisocial (with Travis Scott),Ed Sheeran,pop,87
39,Sucker,Jonas Brothers,boy band,80
40,fuck i'm lonely (with Anne-Marie) - from 13 Reasons Why: Season 3,Lauv,dance pop,78
41,Higher Love,Kygo,edm,88
42,You Need To Calm Down,Taylor Swift,dance pop,90
43,Shallow,Lady Gaga,dance pop,87
44,Talk,Khalid,pop,84
45,Con Altura,ROSALIA,r&b en espanol,88
46,One Thing Right,Marshmello,brostep,88
47,Te Robaré,Nicky Jam,latin,88
48,Happier,Marshmello,brostep,88
49,Call You Mine,The Chainsmokers,edm,88
50,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,82
